model,question,answer,ground_truth,confidence,time,is_answerable,success
T5-QA-Generative,What is your return policy?,30-day return policy for unopened items in their original packaging,,0.8,1.0972154140472412,True,True
T5-QA-Generative,How long does shipping take?,5-7 business days,,0.8,0.44387030601501465,True,True
T5-QA-Generative,What are your customer service hours?,Monday-Friday from 9 AM - 6 PM EST and on Saturday from 10 AM - 4 PM EST,Our customer service hours are Monday-Friday from 9 AM - 6 PM EST and on Saturday from 10 AM - 4 PM EST. You can reach us during these hours via email,0.8,1.5531718730926514,True,True
T5-QA-Generative,Do you offer warranty on products?,warranty covers manufacturing defects for the specified period,,0.8,0.6586740016937256,True,True
T5-QA-Generative,How can I track my order?,track my order on our website or via email,,0.8,0.7321360111236572,True,True
T5-QA-Generative,How do your prices compare to Amazon?,shipping is free for orders under $75 and takes 5-7 business days,,0.8,0.908250093460083,False,True
T5-QA-Generative,Should I buy solar panels for my house?,"I ordered a solar panel from GreenTech Marketplace, but I've changed my mind",,0.8,1.534764051437378,False,True
T5-QA-Generative,Will you have a Black Friday sale this year?,I have a 30-day return policy for unopened items in their original packaging.,,0.8,1.0923089981079102,False,True
T5-QA-Generative,What is the CEO's email address?,support@greentechmarketplace.com,,0.8,1.5271170139312744,False,True
T5-QA-Generative,Can you recommend a good restaurant nearby?,I'm not able to provide personal advice or recommendations for gifts,,0.8,1.2619562149047852,False,True
RoBERTa-SQuAD2,What is your return policy?,30-day return policy for unopened items in their original packaging,,0.07305336743593216,0.10790896415710449,True,True
RoBERTa-SQuAD2,How long does shipping take?,5-7 business days,,0.03626498323865235,0.05808520317077637,True,True
RoBERTa-SQuAD2,What are your customer service hours?,Monday-Friday from 9 AM - 6 PM EST,Our customer service hours are Monday-Friday from 9 AM - 6 PM EST and on Saturday from 10 AM - 4 PM EST. You can reach us during these hours via email,0.05503489077091217,0.06604623794555664,True,True
RoBERTa-SQuAD2,Do you offer warranty on products?,manufacturing defects for the specified period,,0.09965656697750092,0.0700380802154541,True,True
RoBERTa-SQuAD2,How can I track my order?,on our website or via email,,0.0009833249496296048,0.07464194297790527,True,True
RoBERTa-SQuAD2,How do your prices compare to Amazon?,42%),,0.0029760708566755056,0.05320906639099121,False,True
RoBERTa-SQuAD2,Should I buy solar panels for my house?,3 years,,0.016821756958961487,0.054804086685180664,False,True
RoBERTa-SQuAD2,Will you have a Black Friday sale this year?,40%),,7.804680535627995e-06,0.07765913009643555,False,True
RoBERTa-SQuAD2,What is the CEO's email address?,support@greentechmarketplace.com,,0.001780546037480235,0.07399892807006836,False,True
RoBERTa-SQuAD2,Can you recommend a good restaurant nearby?,contacting our customer service team,,0.0019549622666090727,0.07636785507202148,False,True
BERT-Large-SQuAD,What is your return policy?,30-day return policy for unopened items in their original packaging,,0.2178257703781128,0.4753258228302002,True,True
BERT-Large-SQuAD,How long does shipping take?,5-7 business days,,0.5407524183392525,0.1836402416229248,True,True
BERT-Large-SQuAD,What are your customer service hours?,Monday-Friday from 9 AM - 6 PM EST,Our customer service hours are Monday-Friday from 9 AM - 6 PM EST and on Saturday from 10 AM - 4 PM EST. You can reach us during these hours via email,0.08416058868169785,0.20374608039855957,True,True
BERT-Large-SQuAD,Do you offer warranty on products?,Our warranty covers manufacturing defects for the specified period,,0.19775372743606567,0.21631884574890137,True,True
BERT-Large-SQuAD,How can I track my order?,once it's been shipped,,0.5773793458938599,0.36688923835754395,True,True
BERT-Large-SQuAD,How do your prices compare to Amazon?,39%,,0.00019735984096769243,0.2015221118927002,False,True
BERT-Large-SQuAD,Should I buy solar panels for my house?,I've changed my mind,,0.38365837931632996,0.19881510734558105,False,True
BERT-Large-SQuAD,Will you have a Black Friday sale this year?,We have a 30-day return policy,,7.304217433556914e-05,0.3477652072906494,False,True
BERT-Large-SQuAD,What is the CEO's email address?,support@greentechmarketplace.com,,0.7817264795303345,0.36003994941711426,False,True
BERT-Large-SQuAD,Can you recommend a good restaurant nearby?,reaching out to someone who knows your friend well,,0.0009573085117153823,0.351137638092041,False,True
DynamicRAG-8B,What is your return policy?,", please contact our customer service team at support@greentechmarketplace",,0.0008331415010616183,2.1589508056640625,True,True
DynamicRAG-8B,How long does shipping take?,: For expedited shipping,,0.0022955965250730515,1.499277114868164,True,True
