model_name,question,answer,ground_truth,confidence,response_time,is_answerable,success,error
BERT-Tiny-SQuAD,What is your return policy?,I'd like to return a product,,0.0009573198622092605,0.013453960418701172,True,True,
BERT-Tiny-SQuAD,How long does shipping take?,5-7 business days,,0.002556465333327651,0.005597114562988281,True,True,
BERT-Tiny-SQuAD,What are your customer service hours?,What,,0.013963115401566029,0.0061419010162353516,True,True,
BERT-Tiny-SQuAD,Do you offer warranty on products?,RELEVANT INFORMATION FROM KNOWLEDGE BASE,,0.0006658041966147721,0.00503087043762207,True,True,
BERT-Tiny-SQuAD,How can I track my order?,I,,0.005875853355973959,0.0036563873291015625,True,True,
BERT-Tiny-SQuAD,How do your prices compare to Amazon?,RELEVANT INFORMATION FROM KNOWLEDGE BASE,,0.00038548800512216985,0.005004167556762695,False,True,
BERT-Tiny-SQuAD,Should I buy solar panels?,RELEVANT INFORMATION FROM KNOWLEDGE BASE,,0.0006284656119532883,0.005655765533447266,False,True,
BERT-Tiny-SQuAD,Will you have a Black Friday sale?,RELEVANT INFORMATION FROM KNOWLEDGE BASE,,0.00022512937721330673,0.003954887390136719,False,True,
BERT-Tiny-SQuAD,What is the CEO's email?,4 PM EST,,0.0008570021018385887,0.00449371337890625,False,True,
BERT-Tiny-SQuAD,Can you recommend a good restaurant?,RELEVANT INFORMATION FROM KNOWLEDGE BASE,,0.0003772909985855222,0.004339933395385742,False,True,
BERT-Large-SQuAD,What is your return policy?,30 days of delivery for a full refund,,0.06190067529678345,2.507063865661621,True,True,
BERT-Large-SQuAD,How long does shipping take?,5-7 business days,,0.09810687322169542,0.18323898315429688,True,True,
BERT-Large-SQuAD,What are your customer service hours?,from Monday to Friday,,0.07535968720912933,0.2027568817138672,True,True,
BERT-Large-SQuAD,Do you offer warranty on products?,GreenTech Marketplace,,0.010152443312108517,0.2018113136291504,True,True,
BERT-Large-SQuAD,How can I track my order?,once it's been shipped,,0.5730763673782349,0.17122220993041992,True,True,
BERT-Large-SQuAD,How do your prices compare to Amazon?,ShopSmart,,0.004014234058558941,0.178541898727417,False,True,
BERT-Large-SQuAD,Should I buy solar panels?,Q: Can I return a product if I'm not satisfied,,0.0007000562036409974,0.19301605224609375,False,True,
BERT-Large-SQuAD,Will you have a Black Friday sale?,Can I return it for a refund,,0.0557590126991272,0.17975878715515137,False,True,
BERT-Large-SQuAD,What is the CEO's email?,RELEVANT INFORMATION,,0.01760259084403515,0.19589805603027344,False,True,
BERT-Large-SQuAD,Can you recommend a good restaurant?,Q,,0.0025756246759556234,0.1926283836364746,False,True,
