model,question,answer,ground_truth,is_answerable,exact_match,f1_score,semantic_similarity,confidence,response_time,success
T5-QA-Generative,What is your return policy?,30 day return policy,,True,0.0,0.0,0.0,0.5,0.45762085914611816,True
T5-QA-Generative,How long does shipping take?,5-7 business days,,True,0.0,0.0,0.0,0.5,0.2523040771484375,True
T5-QA-Generative,What are your customer service hours?,------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,,True,0.0,0.0,0.0,0.5,12.764580249786377,True
T5-QA-Generative,Do you offer warranty on products?,"I just received a product from GreenTech Marketplace, but I'm not satisfied",,True,0.0,0.0,0.0,0.5,1.6763501167297363,True
T5-QA-Generative,How can I track my order?,can track my package on our website or through the carrier's website,,True,0.0,0.0,0.0,0.5,0.6822178363800049,True
T5-QA-Generative,How do your prices compare to Amazon?,subjective and beyond ShopSmart's knowledge base,,False,0.0,0.0,0.0,0.5,0.5165629386901855,True
T5-QA-Generative,Should I buy solar panels?,"from Monday to Friday, 9 AM to 6 PM EST, and on Saturdays from 10 AM to 4 PM EST",,False,0.0,0.0,0.0,0.5,1.5883870124816895,True
T5-QA-Generative,Will you have a Black Friday sale?,if I'm not happy with my purchase,,False,0.0,0.0,0.0,0.5,0.5199427604675293,True
T5-QA-Generative,What is the CEO's email?,support@greentechmarketplace.com,,False,0.0,0.0,0.0,0.5,0.7550139427185059,True
T5-QA-Generative,Can you recommend a good restaurant?,unable to determine the best smartphone brand,,False,0.0,0.0,0.0,0.5,1.249190092086792,True
RoBERTa-SQuAD2,What is your return policy?,30-day,,True,0.0,0.0,0.0,0.019117014482617378,0.622053861618042,True
RoBERTa-SQuAD2,How long does shipping take?,5-7 business days,,True,0.0,0.0,0.0,0.0061302542890189216,0.06282925605773926,True
RoBERTa-SQuAD2,What are your customer service hours?,9 AM to 6 PM EST,,True,0.0,0.0,0.0,0.14034536259714514,0.07307791709899902,True
RoBERTa-SQuAD2,Do you offer warranty on products?,"Yes, you can return any unopened item in its original packaging",,True,0.0,0.0,0.0,0.0017690093955025077,0.08597898483276367,True
RoBERTa-SQuAD2,How can I track my order?,on our website or through the carrier's website,,True,0.0,0.0,0.0,0.007733586244285107,0.05478501319885254,True
RoBERTa-SQuAD2,How do your prices compare to Amazon?,ShopSmart,,False,0.0,0.0,0.0,0.0008721352205611765,0.055001020431518555,True
RoBERTa-SQuAD2,Should I buy solar panels?,Monday through Friday from 9 AM to 6 PM EST,,False,0.0,0.0,0.0,0.00019085180247202516,0.05386495590209961,True
RoBERTa-SQuAD2,Will you have a Black Friday sale?,Monday through Friday from 9 AM to 6 PM EST,,False,0.0,0.0,0.0,0.0001386163930874318,0.06614398956298828,True
RoBERTa-SQuAD2,What is the CEO's email?,customer service team,,False,0.0,0.0,0.0,2.0070725440746173e-05,0.06781530380249023,True
